,index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
6794,6794,IndiGo,15/04/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 16 Apr,2h 40m,non-stop,No info,4174
6795,6795,Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,4030
6796,6796,Air Asia,21/03/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4082
6797,6797,Air India,24/05/2019,Kolkata,Banglore,CCU → BBI → HYD → BLR,09:10,11:05 25 May,25h 55m,2 stops,No info,6117
6798,6798,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BDQ → DEL,05:50,12:20,6h 30m,1 stop,In-flight meal not included,6163
6799,6799,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,04:25 28 Mar,12h 25m,1 stop,In-flight meal not included,6540
6800,6800,SpiceJet,12/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649
6801,6801,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 10 Jun,21h 10m,1 stop,In-flight meal not included,10262
6802,6802,Vistara,6/04/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,5613
6803,6803,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,08:30,11:30,3h,non-stop,No info,6144
6804,6804,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:05 13 May,29h 5m,1 stop,No info,13067
6805,6805,Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,21:10,00:05 07 Mar,2h 55m,non-stop,No info,7608
6806,6806,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 10 Jun,15h 30m,1 stop,No info,7198
6807,6807,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,No info,13941
6808,6808,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 10 Jun,18h 45m,2 stops,In-flight meal not included,10368
6809,6809,SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
6810,6810,IndiGo,27/03/2019,Kolkata,Banglore,CCU → BLR,20:25,23:05,2h 40m,non-stop,No info,4462
6811,6811,Air India,24/03/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:40,7h 50m,2 stops,No info,8005
6812,6812,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,22:35 02 Apr,27h 40m,1 stop,In-flight meal not included,7064
6813,6813,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,21:05 02 May,24h 40m,1 stop,No info,12121
6814,6814,Air India,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19:15,7h 15m,2 stops,No info,8918
6815,6815,Air India,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8891
6816,6816,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,16:15,6h 15m,1 stop,No info,10203
6817,6817,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,8073
6818,6818,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:20,6h 10m,1 stop,No info,11237
6819,6819,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 13 Jun,21h 40m,2 stops,No info,13376
6820,6820,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,6513
6821,6821,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 25 May,9h 45m,1 stop,No info,13731
6822,6822,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,19:50 02 Apr,23h 50m,1 stop,In-flight meal not included,7064
6823,6823,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,19:10,13h 25m,1 stop,No info,16736
6824,6824,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 16 May,14h 5m,1 stop,In-flight meal not included,8586
6825,6825,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:00,13h,1 stop,No info,11789
6826,6826,IndiGo,24/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5224
6827,6827,IndiGo,15/05/2019,Delhi,Cochin,DEL → COK,21:05,00:20 16 May,3h 15m,non-stop,No info,6834
6828,6828,IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 Jun,9h 30m,1 stop,No info,6316
6829,6829,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50 22 Mar,32h 5m,2 stops,No info,11869
6830,6830,Air Asia,6/03/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 07 Mar,2h 30m,non-stop,No info,4384
6831,6831,IndiGo,21/04/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5644
6832,6832,Air India,9/03/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 10 Mar,23h,2 stops,No info,19681
6833,6833,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 07 Jun,15h 30m,1 stop,No info,13377
6834,6834,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,21:20,11h 35m,2 stops,No info,10090
6835,6835,Jet Airways,6/03/2019,Mumbai,Hyderabad,BOM → IDR → DEL → HYD,17:50,16:50 07 Mar,23h,2 stops,No info,20845
6836,6836,Vistara,24/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878
6837,6837,IndiGo,1/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
6838,6838,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442
6839,6839,SpiceJet,27/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 28 May,2h 55m,non-stop,No check-in baggage included,3257
6840,6840,Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,7229
6841,6841,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,20:30,13:45 02 May,17h 15m,2 stops,No info,15164
6842,6842,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,10067
6843,6843,Air India,15/03/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,5674
6844,6844,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,10:25 02 Mar,20h 20m,1 stop,No info,20800
6845,6845,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15h 40m,1 stop,No info,7144
6846,6846,Air India,27/05/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094
6847,6847,Jet Airways,18/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4050
6848,6848,SpiceJet,24/06/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3859
6849,6849,Jet Airways,21/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,10:20,18:50 22 Mar,32h 30m,2 stops,No info,11664
6850,6850,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:10,21:20,14h 10m,2 stops,In-flight meal not included,7731
6851,6851,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,No info,12692
6852,6852,Air India,18/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 19 May,20h 10m,2 stops,No info,11307
6853,6853,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 10 Jun,7h 30m,1 stop,In-flight meal not included,8586
6854,6854,IndiGo,21/03/2019,Banglore,New Delhi,BLR → STV → DEL,11:20,15:25,4h 5m,1 stop,No info,5746
6855,6855,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,13378
6856,6856,Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,7486
6857,6857,SpiceJet,6/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No info,7298
6858,6858,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9h 20m,1 stop,No info,7005
6859,6859,IndiGo,12/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
6860,6860,IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,12:55,8h 10m,1 stop,No info,16162
6861,6861,IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No info,3419
6862,6862,Air Asia,1/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,5192
6863,6863,Air Asia,15/04/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4409
6864,6864,Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229
6865,6865,IndiGo,15/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:55,21:50,4h 55m,1 stop,No info,5397
6866,6866,Jet Airways,15/04/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,6542
6867,6867,GoAir,27/03/2019,Delhi,Cochin,DEL → BOM → COK,10:25,19:20,8h 55m,1 stop,No info,5281
6868,6868,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,8266
6869,6869,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,10262
6870,6870,Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,20:25 25 Mar,24h 5m,1 stop,No info,11105
6871,6871,Jet Airways,3/04/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544
6872,6872,Air India,6/03/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,4960
6873,6873,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,05:05 07 Mar,20h 10m,1 stop,No info,16736
6874,6874,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 02 Jun,15h 30m,1 stop,No info,13377
6875,6875,SpiceJet,18/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2227
6876,6876,Air India,15/03/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,3100
6877,6877,Air India,9/06/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,3100
6878,6878,SpiceJet,18/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873
6879,6879,IndiGo,3/03/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,5232
6880,6880,Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,3359
6881,6881,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,6144
6882,6882,IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:00,4h 25m,1 stop,No info,7725
6883,6883,Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,4441
6884,6884,Air India,27/06/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,19:15 28 Jun,38h,3 stops,No info,10703
6885,6885,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 13 Jun,12h 55m,1 stop,In-flight meal not included,8529
6886,6886,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,13:20,9h 20m,1 stop,No info,14973
6887,6887,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,No info,14571
6888,6888,SpiceJet,3/06/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 04 Jun,2h 55m,non-stop,No check-in baggage included,3257
6889,6889,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1 stop,In-flight meal not included,11087
6890,6890,SpiceJet,1/04/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873
6891,6891,SpiceJet,15/04/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,4423
6892,6892,Air India,3/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,07:40 04 Jun,20h 45m,2 stops,No info,11753
6893,6893,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,No info,14571
6894,6894,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15h,1 stop,No info,8475
6895,6895,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 02 May,14h 5m,1 stop,No info,13941
6896,6896,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 22 May,23h 15m,1 stop,No info,16079
6897,6897,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,18:50,14h 50m,1 stop,No info,13399
6898,6898,Air India,6/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 07 Jun,26h 35m,2 stops,No info,9653
6899,6899,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,14714
6900,6900,Air Asia,18/06/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383
6901,6901,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,08:15 02 Mar,18h 10m,1 stop,No info,22270
6902,6902,Vistara,3/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,5944
6903,6903,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 13 May,13h 20m,1 stop,In-flight meal not included,9663
6904,6904,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9h 20m,1 stop,No info,7740
6905,6905,Air India,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,23:15 02 Apr,26h 45m,1 stop,No info,7211
6906,6906,Jet Airways,1/04/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,7229
6907,6907,IndiGo,6/04/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,4174
6908,6908,Air India,15/03/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5170
6909,6909,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,09:10,18:50,9h 40m,1 stop,No info,15135
6910,6910,SpiceJet,9/04/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649
6911,6911,Vistara,1/05/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668
6912,6912,Air India,12/06/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 13 Jun,12h 45m,1 stop,No info,7480
6913,6913,Air India,18/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,6121
6914,6914,Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 May,19h 55m,2 stops,No info,15129
6915,6915,Air India,6/05/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,7452
6916,6916,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 07 Jun,25h 20m,1 stop,In-flight meal not included,10539
6917,6917,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 07 Mar,2h 50m,non-stop,No info,7648
6918,6918,SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,non-stop,No info,3925
6919,6919,IndiGo,15/06/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
6920,6920,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 02 May,15h 10m,1 stop,In-flight meal not included,8586
6921,6921,Air India,27/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 28 Jun,26h 20m,2 stops,No info,13591
6922,6922,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646
6923,6923,Vistara,6/05/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668
6924,6924,Air India,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,10h 25m,1 stop,No info,10203
6925,6925,Air India,24/03/2019,Banglore,New Delhi,BLR → COK → DEL,06:55,13:20,6h 25m,1 stop,No info,7932
6926,6926,Air India,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,16:50,07:55 02 Apr,15h 5m,1 stop,No info,7893
6927,6927,Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,13029
6928,6928,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,12:35 13 Jun,27h 35m,1 stop,In-flight meal not included,10262
6929,6929,IndiGo,12/06/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,3574
6930,6930,Air Asia,3/06/2019,Delhi,Cochin,DEL → BLR → COK,07:55,22:25,14h 30m,1 stop,No info,8759
6931,6931,Jet Airways,03/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,07:40 07 Mar,23h 40m,1 stop,In-flight meal not included,13502
6932,6932,Air India,18/05/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 19 May,24h,1 stop,No info,6528
6933,6933,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,15:05,04:25 28 Mar,13h 20m,1 stop,In-flight meal not included,6017
6934,6934,Vistara,9/04/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,5613
6935,6935,Jet Airways,27/06/2019,Mumbai,Hyderabad,BOM → HYD,08:45,10:15,1h 30m,non-stop,No info,8040
6936,6936,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,5694
6937,6937,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 22 May,25h 30m,1 stop,In-flight meal not included,12898
6938,6938,Air Asia,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,19:25,11h 50m,1 stop,No info,5192
6939,6939,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,19:00 02 Jun,28h,1 stop,No info,14714
6940,6940,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,23:00,17h 15m,1 stop,No info,13817
6941,6941,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,14714
6942,6942,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,3597
6943,6943,Air India,9/05/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6121
6944,6944,Air India,9/06/2019,Kolkata,Banglore,CCU → BOM → GOI → BLR,16:50,05:35 10 Jun,12h 45m,2 stops,No info,11642
6945,6945,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,04:25 07 Mar,12h 25m,1 stop,No info,15764
6946,6946,IndiGo,1/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804
6947,6947,Air India,27/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,19:15,8h 20m,2 stops,No info,13223
6948,6948,IndiGo,24/06/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
6949,6949,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,01:30 04 Jun,15h 10m,1 stop,No info,6795
6950,6950,Air Asia,9/03/2019,Delhi,Cochin,DEL → BLR → COK,16:45,22:15,5h 30m,1 stop,No info,8327
6951,6951,Air India,21/05/2019,Delhi,Cochin,DEL → BLR → COK,09:30,23:00,13h 30m,1 stop,No info,8907
6952,6952,IndiGo,9/06/2019,Kolkata,Banglore,CCU → GAU → BLR,15:10,20:30,5h 20m,1 stop,No info,7095
6953,6953,Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,21:00,07:40 22 Mar,10h 40m,1 stop,No info,6902
6954,6954,Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 22 May,17h 5m,2 stops,In-flight meal not included,13029
6955,6955,Air India,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,8372
6956,6956,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,10844
6957,6957,Air Asia,6/03/2019,Kolkata,Banglore,CCU → BLR,19:35,22:05,2h 30m,non-stop,No info,4384
6958,6958,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,No info,12121
6959,6959,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 22 May,28h 50m,1 stop,No info,11467
6960,6960,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,non-stop,No info,6860
6961,6961,Air India,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,11241
6962,6962,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,20:40 25 Mar,24h 55m,1 stop,No info,13759
6963,6963,IndiGo,1/05/2019,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,4226
6964,6964,IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 10 May,9h 30m,1 stop,No info,9274
6965,6965,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,12192
6966,6966,IndiGo,9/06/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4804
6967,6967,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,12:35 28 Jun,25h 5m,1 stop,In-flight meal not included,10262
6968,6968,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 16 Jun,23h 35m,1 stop,In-flight meal not included,10262
6969,6969,IndiGo,9/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175
6970,6970,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 28 May,19h 5m,1 stop,In-flight meal not included,12898
6971,6971,Jet Airways,21/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,No info,9564
6972,6972,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,19:00 28 Jun,29h 35m,2 stops,No info,12819
6973,6973,Air India,24/03/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,09:10,07:55 25 Mar,22h 45m,2 stops,No info,15187
6974,6974,Air India,24/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45 25 May,28h 20m,2 stops,No info,12802
6975,6975,IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,09:35,12:10,2h 35m,non-stop,No info,4804
6976,6976,SpiceJet,9/03/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,6300
6977,6977,SpiceJet,27/05/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,3873
6978,6978,IndiGo,1/06/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,5224
6979,6979,Air India,15/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,5228
6980,6980,Air India,12/03/2019,Mumbai,Hyderabad,BOM → BLR → HYD,09:15,09:15 13 Mar,24h,1 stop,No info,8065
6981,6981,Air India,3/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,4441
6982,6982,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,7354
6983,6983,Air India,21/05/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094
6984,6984,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 02 Apr,16h,1 stop,In-flight meal not included,7064
6985,6985,Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,04:25 10 Jun,18h 50m,2 stops,No info,13292
6986,6986,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 13 Jun,22h,2 stops,No info,13376
6987,6987,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50 22 Mar,32h 5m,2 stops,In-flight meal not included,7791
6988,6988,Air India,12/06/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 13 Jun,20h 55m,1 stop,No info,7480
6989,6989,IndiGo,15/05/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1 stop,No info,5069
6990,6990,SpiceJet,18/06/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,3257
6991,6991,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:30 10 May,12h 40m,1 stop,No info,34273
6992,6992,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2 stops,No info,16704
6993,6993,Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → DEL → BLR,08:20,23:15,14h 55m,2 stops,No info,11432
6994,6994,Air India,12/03/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,4307
6995,6995,Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 28 May,17h 5m,2 stops,In-flight meal not included,13029
6996,6996,Air India,21/05/2019,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,3100
